26,51,76,101,126,151,176
Amazon.co.jp,Google.co.jp,Amazon.co.uk,Tumblr.com,Nih.gov,Liputan6.com,Ups.com
8:40,8:05,5:28,3:57,3:31,4:43,3:35
9.72,12.7,5.25,3.74,3.19,2.22,2.68
17.60%,6.60%,17.20%,12.00%,49.60%,58.30%,23.90%
"48,782","44,343","56,938","84,067","84,307","14,811","7,345"
44,69,94,119,144,169,194
Tianya.cn,1688.com,Roblox.com,Google.fr,Duckduckgo.com,Varzesh3.com,Archive.org
2:53,15:21,17:06,5:33,4:38,7:25,4:55
5.06,9.14,8.87,4.42,1.11,4.95,6.79
0.70%,7.00%,11.80%,7.90%,3.20%,11.40%,21.90%
"5,200","12,948",757,"26,305","2,388","8,915","75,879"
45,70,95,120,145,170,195
Apple.com,Amazonaws.com,Thestartmagazine.com,Telegram.org,Amazon.ca,Wix.com,Ca.gov
3:52,2:55,3:28,6:34,8:12,8:12,5:34
3.88,2.34,3.1,3.54,8.13,6.07,6.85
37.30%,6.40%,10.20%,18.60%,21.60%,18.70%,32.30%
"174,917","55,828","39,437",958,"15,234","17,144","40,587"
46,71,96,121,146,171,196
Aparat.com,Cnblogs.com,Bbc.com,Daum.net,Shutterstock.com,Chess.com,Aliexpress.ru
7:01,3:26,3:39,13:46,7:18,21:08,11:00
5.17,3.67,2.62,9.69,6.92,9.48,6.5
42.00%,8.70%,26.60%,4.60%,30.20%,10.50%,11.00%
"66,504","4,814","45,881","15,145","14,088","1,787",115
47,72,97,122,147,172,197
Huanqiu.com,Haosou.com,Instructure.com,Freepik.com,Booking.com,Researchgate.net,Momoshop.com.tw
2:52,7:04,12:54,10:21,6:37,2:34,7:19
5.24,14.3,10.6,6.98,5.05,2.14,3.38
1.10%,0.00%,7.40%,29.70%,25.10%,58.80%,31.10%
"6,324","7,479","1,034","8,008","22,940","9,042","14,904"
48,73,98,123,148,173,198
Yy.com,Hao123.com,Chase.com,Salesforce.com,Pinterest.com,Grid.id,51.la
2:46,2:00,5:27,10:06,5:47,2:44,3:09
5.18,2.24,7.55,8.2,5.72,1.6,3.83
0.90%,2.90%,8.50%,6.10%,30.40%,63.80%,1.20%
"2,120","6,381","1,231","4,649","691,538","7,044","21,521"
49,74,99,124,149,174,199
Stackoverflow.com,Nytimes.com,Espn.com,Pixnet.net,Wellsfargo.com,Soso.com,Globo.com
6:11,3:45,5:33,2:38,5:45,4:32,6:44
3.92,2.69,4.15,2.12,7.54,3.6,2.9
75.50%,30.90%,13.60%,61.70%,10.90%,0.20%,19.10%
"26,118","163,756","9,008","50,666","2,218","4,423","27,669"
50,75,100,125,150,175,200
Chaturbate.com,Etsy.com,Flipkart.com,Google.it,Pikiran-rakyat.com,Foxnews.com,Zendesk.com
11:19,12:21,10:02,2:40,6:06,5:19,11:01
8.38,7.9,8.65,3.21,2.57,2.6,7.54
9.00%,19.30%,22.10%,5.30%,61.60%,17.90%,10.70%
"156,661","101,832","5,479","21,352","5,221","42,596","2,878"
,,,,,,
1 2 3 4 5 ⋅⋅⋅ 20,1 2 3 4 5 ⋅⋅⋅ 20,1 2 3 4 5 6 ⋅⋅⋅ 20,1 ⋅⋅⋅ 3 4 5 6 7 ⋅⋅⋅ 20,1 ⋅⋅⋅ 4 5 6 7 8 ⋅⋅⋅ 20,1 ⋅⋅⋅ 5 6 7 8 9 ⋅⋅⋅ 20,1 ⋅⋅⋅ 6 7 8 9 10 ⋅⋅⋅ 20
